,complex_nm,trains,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17
37,Gun Hill Rd,2 5,2235325.0,2304780.0,2477798.0,2449555.0,2473814.0,2429804.0,4569.0,4762.0,4867.0,4899.0,5055.0,4984,4540.0,4994.0,5044.0,4463.0,5434.0,5291
38,Gun Hill Rd,5,1757377.0,1792707.0,1716952.0,1639924.0,1619073.0,1555601.0,7212.0,7339.0,7752.0,7790.0,7714.0,7639,7899.0,7985.0,9233.0,8528.0,9261.0,8954
39,Hunts Point Av,6,3204779.0,3158343.0,3138131.0,3305563.0,3269585.0,3243725.0,5953.0,6002.0,6038.0,5880.0,5886.0,5654,4910.0,4825.0,3240.0,2489.0,2079.0,2167
40,Intervale Av,2 5,937280.0,1048501.0,1095221.0,1039265.0,1061240.0,1045483.0,10389.0,10144.0,10111.0,10484.0,10651.0,10646,11168.0,10574.0,10352.0,11670.0,10136.0,9903
41,Jackson Av,2 5,1520612.0,1686061.0,1753555.0,1731638.0,1802193.0,1794781.0,3121.0,3420.0,3571.0,3472.0,3423.0,3377,2853.0,3239.0,3388.0,2832.0,3435.0,3431
42,Kingsbridge Rd,4,3173688.0,3198725.0,3149605.0,3171646.0,3126119.0,3024692.0,5060.0,5432.0,5631.0,5705.0,5752.0,5766,4578.0,5497.0,5780.0,5063.0,6071.0,6011
43,Kingsbridge Rd,B D,2255556.0,2390749.0,2562374.0,2530782.0,2566076.0,2589970.0,10377.0,10431.0,10231.0,10107.0,9998.0,9783,10587.0,9915.0,9927.0,10965.0,10531.0,9858
44,Longwood Av,6,1065764.0,1087990.0,1098022.0,1088970.0,1081519.0,1084049.0,7184.0,7422.0,7975.0,8006.0,8144.0,8237,8373.0,9193.0,9756.0,8995.0,8903.0,9086
45,Middletown Rd,6,566771.0,441950.0,661242.0,795762.0,598447.0,609861.0,3476.0,3494.0,3531.0,3482.0,3517.0,3518,3589.0,3635.0,3640.0,3692.0,3365.0,3487
46,Morris Park,5,589170.0,631930.0,621945.0,629282.0,677899.0,685577.0,1969.0,1514.0,2273.0,2726.0,2066.0,2102,1372.0,1039.0,1528.0,1879.0,1315.0,1403
47,Morrison Av-Soundview,6,2057570.0,2096942.0,2125383.0,2097203.0,2135920.0,2125767.0,2083.0,2210.0,2253.0,2319.0,2487.0,2527,1255.0,1268.0,874.0,679.0,779.0,802
48,Mosholu Pkwy,4,2906150.0,2917501.0,2886764.0,2891451.0,2836370.0,2695090.0,6582.0,6588.0,6669.0,6628.0,6755.0,6742,7494.0,7664.0,7810.0,7447.0,7520.0,7540
49,Mt Eden Av,4,1818870.0,1848483.0,1824861.0,1844131.0,1824478.0,1708790.0,9596.0,9588.0,9459.0,9252.0,9135.0,8770,9261.0,8681.0,8721.0,9816.0,9256.0,8527
50,Nereid Av,2 5,1086227.0,1195804.0,1183733.0,1162973.0,1131328.0,1085289.0,5859.0,5995.0,5891.0,5817.0,5770.0,5512,6444.0,5851.0,5899.0,6623.0,6435.0,5612
51,Norwood-205 St,D,2463462.0,2569581.0,2709761.0,2750124.0,2805984.0,2723506.0,3603.0,3878.0,3850.0,3817.0,3753.0,3631,3396.0,3841.0,3725.0,3501.0,3188.0,2933
52,Parkchester,6,4687402.0,5215409.0,5586943.0,5224959.0,5201901.0,5071740.0,7872.0,8043.0,8466.0,8640.0,8897.0,8751,9025.0,9562.0,10155.0,10070.0,9797.0,9127
53,Pelham Bay Park,6,2030215.0,2096130.0,2318533.0,2337689.0,2208725.0,2207720.0,15190.0,16614.0,17746.0,16572.0,16561.0,16310,16260.0,18063.0,19613.0,18457.0,17932.0,17051
54,Pelham Pkwy,2 5,2882651.0,3028494.0,3084862.0,3066190.0,2955589.0,2849210.0,6688.0,6772.0,7442.0,7432.0,7213.0,7185,6516.0,6804.0,7778.0,8134.0,6733.0,6991
55,Pelham Pkwy,5,923188.0,919689.0,907735.0,894727.0,897374.0,869177.0,9288.0,9614.0,9688.0,9774.0,9441.0,9173,10246.0,10637.0,11322.0,10586.0,10022.0,9452
56,Prospect Av,2 5,2125066.0,2311798.0,2445131.0,2394820.0,2513169.0,2413743.0,3314.0,3254.0,3304.0,3303.0,3332.0,3237,1746.0,1673.0,1210.0,944.0,858.0,866
57,Simpson St,2 5,2810789.0,3027856.0,3121036.0,3048014.0,3046838.0,2965807.0,7053.0,7424.0,7857.0,7908.0,8004.0,7704,6521.0,7683.0,8085.0,6935.0,8587.0,8324
58,St Lawrence Av,6,1212796.0,1280074.0,1315456.0,1320571.0,1329758.0,1334387.0,9243.0,9672.0,9948.0,9981.0,9680.0,9446,9045.0,10310.0,10690.0,9234.0,10504.0,10334
59,Tremont Av,B D,2791329.0,2952385.0,3130848.0,3155197.0,3213396.0,3154608.0,3852.0,3995.0,4099.0,4185.0,4187.0,4196,4537.0,4805.0,4970.0,4633.0,4776.0,4898
60,Van Cortlandt Park-242 St,1,2041551.0,2148667.0,2188428.0,2266986.0,2294482.0,2249314.0,8882.0,9157.0,9727.0,9980.0,10246.0,10055,10412.0,11386.0,12001.0,11209.0,10921.0,10962
61,Wakefield-241 St,2,1603076.0,1528793.0,1669608.0,1654707.0,1662337.0,1578125.0,6641.0,6943.0,7107.0,7338.0,7431.0,7396,6968.0,6966.0,6927.0,7302.0,7317.0,6865
62,West Farms Sq-East Tremont Av,2 5,2428999.0,2514240.0,2567773.0,2437882.0,2465907.0,2388659.0,5048.0,4825.0,5168.0,5186.0,5213.0,5129,6195.0,5443.0,6451.0,6094.0,6069.0,5027
63,Westchester Sq-East Tremont Av,6,1964525.0,2043649.0,2177402.0,2056555.0,1952473.0,1917007.0,7842.0,7979.0,8170.0,8010.0,7848.0,7657,8494.0,8803.0,8875.0,7230.0,8447.0,8074
64,Whitlock Av,6,524988.0,534489.0,543798.0,545079.0,571352.0,595385.0,6663.0,6820.0,7351.0,6912.0,6635.0,6479,5512.0,5674.0,5619.0,5464.0,4784.0,4999
65,Woodlawn,4,2417765.0,2423278.0,2375663.0,2418890.0,2380900.0,2242100.0,1691.0,1685.0,1707.0,1737.0,1830.0,1905,1857.0,1933.0,2002.0,1864.0,1913.0,2035
66,Zerega Av,6,849815.0,985388.0,599478.0,492883.0,784314.0,799739.0,7797.0,7776.0,7683.0,7637.0,7623.0,7260,8577.0,8125.0,7686.0,8724.0,8010.0,7271
67,15 St-Prospect Park,F G,1852346.0,2005424.0,2017347.0,2011237.0,1958444.0,1917454.0,2849.0,3253.0,2012.0,1647.0,2629.0,2664,2523.0,2885.0,1576.0,1327.0,2080.0,2253
68,18 Av,D,1661770.0,1954729.0,1996205.0,1925239.0,2003777.0,1948610.0,6018.0,6448.0,6495.0,6385.0,6342.0,6272,6358.0,6658.0,6651.0,7103.0,6272.0,5968
69,18 Av,F,1294568.0,1313344.0,1277024.0,1392552.0,1344286.0,1281041.0,5544.0,6162.0,6326.0,6242.0,6413.0,6196,4960.0,7057.0,7032.0,6073.0,6681.0,6807
70,18 Av,N,1819255.0,1641928.0,1775695.0,1784992.0,723187.0,992834.0,4220.0,4204.0,4050.0,4458.0,4440.0,4318,4328.0,4398.0,4465.0,4663.0,3787.0,3271
71,20 Av,D,1377648.0,1547029.0,1564060.0,1592525.0,1656437.0,1579804.0,5507.0,5092.0,5491.0,5502.0,2266.0,3107,8083.0,6296.0,6865.0,6996.0,2602.0,3695
72,20 Av,N,1245145.0,1286961.0,1305487.0,1279525.0,409416.0,664120.0,4556.0,4859.0,4930.0,5115.0,5268.0,5009,4287.0,5658.0,5621.0,5252.0,5656.0,5584
73,25 Av,D,1206526.0,1421090.0,1488192.0,1508412.0,1992945.0,1789365.0,4091.0,4190.0,4277.0,4223.0,1348.0,2139,4060.0,4026.0,3946.0,3701.0,1176.0,2194
74,25 St,R,1198226.0,1218842.0,1274939.0,1221949.0,1188884.0,1373521.0,4046.0,4607.0,4761.0,4886.0,6507.0,5790,3530.0,4536.0,5053.0,4827.0,6064.0,5798
75,36 St,D N R,3772420.0,3826400.0,3970318.0,4138929.0,4235509.0,4543305.0,3820.0,3821.0,3959.0,3847.0,3788.0,4547,4430.0,4500.0,4895.0,4434.0,4071.0,4012
