tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,complex_nm,trains,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18
2152570.0,2445421.0,2368031.0,2518622.0,2589024.0,2249646,7003.0,7489.0,7587.0,7697.0,7691,7175,East 180 St,2 5,6753.0,9919.0,8065.0,10226.0,11725,7791
1441375.0,1380334.0,1330123.0,1293411.0,1261041.0,1259009,4948.0,4948.0,4845.0,4769.0,4647,4506,Eastchester-Dyre Av,5,3334.0,2193.0,1697.0,1377.0,1479,2032
2041453.0,2084044.0,2080228.0,2117178.0,2107677.0,2000985,6377.0,6496.0,6543.0,6642.0,6605,6323,Elder Av,6,7638.0,7860.0,7534.0,7700.0,7840,7156
3946955.0,3857749.0,3892140.0,3858183.0,3656367.0,3321215,12558.0,12231.0,11982.0,11957.0,11503,10395,Fordham Rd,4,13711.0,13567.0,15423.0,14781.0,13431,12386
3876601.0,4028205.0,3905346.0,3890986.0,3843008.0,3596416,11878.0,12363.0,12145.0,12208.0,12054,11361,Fordham Rd,B D,15697.0,16208.0,14902.0,14201.0,14314,12938
1486965.0,1517066.0,1492757.0,1588448.0,1556949.0,1354453,4762.0,4867.0,4899.0,5055.0,4984,4451,Freeman St,2 5,4994.0,5044.0,4463.0,5434.0,5291,4020
2304780.0,2477798.0,2449555.0,2473814.0,2429804.0,2197147,7339.0,7752.0,7790.0,7714.0,7639,6930,Gun Hill Rd,2 5,7985.0,9233.0,8528.0,9261.0,8954,7950
1792707.0,1716952.0,1639924.0,1619073.0,1555601.0,1521987,6002.0,6038.0,5880.0,5886.0,5654,5362,Gun Hill Rd,5,4825.0,3240.0,2489.0,2079.0,2167,2814
3158343.0,3138131.0,3305563.0,3269585.0,3243725.0,3216569,10144.0,10111.0,10484.0,10651.0,10646,10460,Hunts Point Av,6,10574.0,10352.0,11670.0,10136.0,9903,10189
1048501.0,1095221.0,1039265.0,1061240.0,1045483.0,943016,3420.0,3571.0,3472.0,3423.0,3377,3130,Intervale Av,2 5,3239.0,3388.0,2832.0,3435.0,3431,2666
